,Actual,Predicted
54,2,2.232233122087923
124,5,4.8608413499834775
264,5,4.490646961152182
175,5,4.849924583994191
283,6,6.534727133432831
213,5,4.90670775908564
304,2,2.271556073826842
282,5,4.645450537460647
100,5,5.029562958681124
196,5,4.942836160482276
142,1,2.5617899642295403
37,6,4.660257107435846
122,5,4.899713810302129
278,5,4.84156666786037
246,5,4.921436894030556
59,5,5.156328858759769
68,5,4.39540403441333
168,2,1.9434107593839052
254,2,1.840241424662585
52,2,2.466790534682584
325,2,1.8864082312424326
332,2,2.4646243731350204
313,7,5.319504816875062
76,2,2.198282631918927
377,2,2.0261848473807094
159,2,1.9606280034950103
255,2,1.8402520749534208
162,2,2.037617400909939
214,5,4.9319360892580875
216,5,4.8543787004403285
286,5,4.992918712753595
384,2,1.7520135844378544
339,2,2.1045439103402845
363,2,2.0769499934045195
6,2,2.7058232317193767
1,2,2.2117160446595445
289,5,4.784590684287407
315,7,11.166923841825671
232,5,5.047533193388753
146,1,2.6096208553881706
102,5,4.894424275481401
60,2,2.1881777577016432
281,5,4.420444474470081
10,2,2.093419798257041
26,3,1.561526121999881
45,2,2.1189825526639634
65,5,5.155915027615899
141,1,2.8640538795557933
352,2,2.4878779407959666
186,5,5.047096851087247
297,2,2.1623804004261338
15,4,7.122393542530745
206,5,5.013217370610997
248,5,4.9710160313310645
5,2,2.2910394652054435
74,5,4.76259587436115
144,1,2.4899052364443905
7,2,2.5857695305053636
260,5,4.921564932304815
319,2,2.0561159336705153
132,2,2.625814887564583
225,5,4.9263556660218235
238,5,4.680093611306393
330,2,2.3677278008732134
20,5,5.234111598379937
347,2,2.3581857950280583
240,5,4.912383173927855
372,2,2.289258042906363
78,2,2.241952225491204
135,5,4.877225852657571
164,5,4.368240245520498
64,5,5.156337883148091
55,5,5.156334717485397
90,2,2.4139615772807836
210,5,4.918183904744801
106,5,4.952176772986148
247,2,2.1337452295509864
249,5,4.88631979763665
