,Actual,Predicted
54,3,-10.190053553643338
124,4,-34.309796154425385
264,1,-84.98217865481024
175,6,34.789727975850155
283,6,-63.631123011530235
213,10,-48.57596221114636
304,1,-72.35693438600697
282,4,33.509660238180004
100,4,44.580424297564605
196,2,-32.40990460063631
142,5,-142.87777746627853
37,4,-21.029448952826442
122,5,12.451694598360064
278,14,-34.90519653574847
246,2,-218.1611007527772
59,4,-40.24945156288504
68,3,-194.76107324889722
168,1,-52.707860075388226
254,5,139.10719863976328
52,4,6.3124593935190205
325,4,-165.58290165668222
332,4,-77.79540691031366
313,4,3286.958253212389
76,4,-232.83871276291848
377,2,167.28783877706246
159,1,-93.37264732648077
255,5,139.09705980617946
162,1,-27.863536800331076
214,9,132.2361490334514
216,9,-230.18390409098038
286,1088,948.8612726313665
384,3,-60.752665599293096
339,3,45.50650337176717
363,2,56.630555342487924
6,4,-281.42291705333673
1,3,-156.19203410241994
289,10,-250.97396152600277
315,30456,1544.8139598674895
232,10,180.03382349338654
146,6,183.90102023533154
102,4,-15.074983948320778
60,5,-143.7273601124457
281,3,48.26110954887599
10,3,-46.097190162449806
26,5,71.47859483119112
45,4,-30.918739706994074
65,2,-40.23934554192874
141,4,-184.784912265583
352,3,20.420121799168555
186,10,214.2019236751678
297,1,14.127570712738589
15,2,273.7932476624628
206,5,118.91706241074917
248,2,-202.00328338737222
5,5,27.870136555292902
74,3,-46.834625711635
144,5,-229.37444699356547
7,4,-346.30055948709423
260,1,-29.456737164766764
319,3,-115.65903607327164
132,3,10.842201123272616
225,4,-172.46624145031365
238,1,84.11902987732469
330,3,-220.029399517603
20,209,1270.736195933779
347,2,15.462956574835971
240,1,49.10731587051828
372,3,-302.88697574263233
78,4,24.80677302623826
135,4,93.8899111478936
164,4,205.46378077683084
64,4,-40.22353683695883
55,4,-40.22598084481251
90,8,53.35199913818656
210,8,-227.87188736491998
106,4,230.77340234768894
247,1,-41.8852845766196
249,8,-98.61692589238169
