,Actual,Predicted
54,2,2.0165546383473014
124,5,5.30599001799275
264,5,4.831314649499228
175,5,5.097702329547707
283,5,3.1521987066975026
213,5,5.034998200966449
304,2,2.3961291708492407
282,5,4.4294150694781615
100,5,4.71541458435448
196,5,4.932406186043467
142,2,1.0361925460200272
37,2,3.452154353290582
122,5,4.975098627616724
278,5,4.992933550025385
246,5,4.798444602079011
59,5,4.571643135705519
68,5,3.8243837081154224
168,2,2.1702743466239713
254,2,2.025602867119135
52,2,2.169605932428472
325,2,1.6402150588573385
332,2,1.9655707993321663
313,2,2.9961431454410823
76,2,2.608275105301895
377,2,1.7731098295251901
159,2,2.3165843428652284
255,2,2.025612174437299
162,2,2.4329354447564375
214,5,5.0193503336619925
216,5,5.142903365754967
286,5,4.772231664842004
384,2,2.0505989849496853
339,2,1.9797007223846048
363,2,2.0016253231293675
6,2,2.7731364973978723
1,2,2.0468168988214934
289,5,5.008882175163333
315,2,-0.6960409365760345
232,5,4.973135256301974
146,2,1.4849552063227356
102,5,5.161600879103334
60,2,2.1421944196301794
281,5,4.3627667199002405
10,2,2.311243455063223
26,3,3.8061168142676696
45,2,2.2802994283501645
65,5,4.571925960534905
141,2,1.560762327335698
352,2,1.9116404748909988
186,5,5.066432976822485
297,2,2.1333132338708074
15,5,2.2563655908804847
206,5,5.021490022677548
248,5,5.09742633590363
5,2,2.1256287921160695
74,5,3.9060045626066655
144,2,1.11064936658099
7,2,2.7884325688741356
260,5,4.660688725828052
319,2,1.7247077798829342
132,2,2.6962245830623415
225,5,4.992061275326307
238,5,4.8895898233749495
330,2,1.7749690665721207
20,5,5.085965570636606
347,2,2.1055002005576346
240,5,5.237423682395333
372,2,1.9517271705979038
78,2,1.9171170051109812
135,5,5.057688277845362
164,5,4.107498992547453
64,5,4.571635355412272
55,5,4.571637019878642
90,2,2.4780576732254307
210,5,5.213218423846838
106,5,5.080352070729909
247,2,2.6564288500529116
249,5,5.00525217092923
