,Actual,Predicted
54,14,13.437656420144354
124,6,6.701928827571406
264,9,8.729805804421218
175,6,6.683763970411961
283,21,13.061432771341572
213,13,11.404858076376954
304,13,14.218490184516742
282,12,12.781976048206973
100,7,9.29816799421802
196,11,11.297814874079778
142,19,14.55073497873596
37,20,13.0307633533658
122,6,5.668149578075488
278,11,10.212106442124531
246,14,6.4391158684662475
59,12,10.273983595799773
68,20,11.350151100648757
168,12,13.662528973083422
254,11,15.432632190938197
52,14,14.022669503458781
325,20,14.238095845733122
332,14,17.819704930680537
313,21,22.439709068336573
76,19,10.82713584161782
377,20,18.78352382271624
159,14,15.011897596214201
255,11,15.432507425814961
162,12,13.782895866956348
214,11,10.92960613146105
216,13,11.579391040655265
286,12,10.425224681127725
384,17,16.32564701974324
339,15,15.303098267362813
363,12,15.170828277680869
6,20,12.263343993532544
1,19,16.02063184490777
289,11,10.436921316879888
315,15,-39.19014080056724
232,6,5.606299485742082
146,4,13.882956523406804
102,6,6.7607357789388836
60,16,13.573467605655619
281,12,12.610860075518913
10,14,15.727463104267311
26,12,11.738937673362777
45,15,13.404891383224886
65,12,10.278022127087983
141,19,13.450751583967548
352,16,16.2081332593398
186,6,5.55500661700372
297,13,13.236231455908634
15,12,15.377455559936088
206,11,11.79402507272744
248,13,12.755303690908757
5,15,16.17852444710153
74,18,11.94302633418676
144,23,14.41948635386811
7,20,12.107330845661032
260,13,10.207900499445627
319,16,15.072660627857378
132,11,12.138591957894004
225,11,11.773277005941123
238,0,8.93434053882642
330,18,17.418937033998155
20,11,13.225047646734705
347,15,16.115957246932485
240,0,6.7776686078214965
372,17,19.894754656407386
78,14,13.556885482177448
135,11,11.066016120899555
164,12,11.9292602981983
64,12,10.274429307828752
55,12,10.274388743566853
90,12,11.492488066967056
210,13,12.691775208016141
106,7,10.57765025094778
247,12,12.57409718301816
249,13,11.252121050121353
