,Actual,Predicted
54,3,3.3105999784580717
124,1,1.1560084445359073
264,2,2.0781180332110765
175,2,2.11316151512201
283,4,3.809792662157581
213,3,2.995076355994188
304,3,3.472317784701335
282,4,3.9039515017422755
100,1,1.4435455145369507
196,3,2.8379466073012574
142,3,3.055708938098765
37,2,2.764933971375052
122,2,2.077882784058966
278,2,2.1479978413023875
246,2,2.127044307248808
59,1,1.4719770043873006
68,3,3.126925763411953
168,2,1.8970767865507745
254,3,1.7257587692910228
52,3,3.4900864647297594
325,2,1.5644008373069562
332,4,3.989100746751834
313,4,3.718796353340914
76,2,2.490993467100606
377,3,2.575256859635739
159,2,1.8727135279345903
255,3,1.7257798998832699
162,3,3.3341884947815226
214,3,2.968748526684111
216,2,2.2720984489681326
286,3,2.9169442017488727
384,1,1.3686468014912971
339,4,3.943763663537105
363,2,2.1611034116692247
6,1,2.112985384366364
1,3,2.3429468359598014
289,2,2.092052800395468
315,4,7.448795301082418
232,3,2.6886234101510893
146,3,2.8909764042176005
102,2,2.05515125023899
60,2,2.6118522031793128
281,4,3.8525640868518423
10,3,2.318918064937696
26,3,3.053432639067964
45,3,1.7368190387670097
65,1,1.4717040888989987
141,3,2.797067185655788
352,4,3.8916641638110927
186,2,2.0223973931727297
297,4,4.151287678396679
15,2,2.3651778481372565
206,3,2.9541440947213444
248,3,2.9814358889467085
5,3,2.258924200237133
74,4,3.9681755968064167
144,3,3.124551893287835
7,1,2.0694744731953802
260,3,2.978351554103627
319,4,3.8592291933186944
132,3,3.211230739216232
225,3,2.839733343753686
238,2,2.2168691068582156
330,4,4.10631332079563
20,3,2.8199449322725774
347,4,3.8861887157011075
240,2,1.9691241795440484
372,2,2.161118350672717
78,3,3.2358776902841657
135,3,2.8274820068607864
164,4,1.3700495982889245
64,1,1.4719284792816656
55,1,1.4719336283971418
90,4,3.916776978670706
210,3,3.0744949337057146
106,2,2.0946539008795133
247,2,1.7072523772606867
249,3,2.955250056565041
