,Actual,Predicted
54,110,1199.146916855214
124,10,-2969.862992050356
264,6,-4093.232507480592
175,20,372.3167986577405
283,81,3010.339816480405
213,208,1130.1216110334817
304,44,4587.280464985322
282,2,3217.791931852462
100,31,-338.20640061975223
196,104,761.399319214167
142,5672,2346.161816426654
37,276,2494.973892574276
122,27,1903.6856497747922
278,65,1773.1708383783653
246,25,549.3238425375239
59,25,-295.1085117329146
68,25,-876.3433215176311
168,19,-2050.198861556344
254,13,631.4183169899334
52,554,4335.161989113671
325,35,6280.460351490585
332,78,7783.427022163111
313,870,-3010.339226990351
76,5,-2657.240069599914
377,30728,26938.659269636075
159,11,-2772.911508845549
255,12,630.8702517933289
162,14,-666.7351201079653
214,149,1136.8335810923609
216,92,-158.3134760148273
286,39,2137.5975719309804
384,34371,18626.569137506372
339,22304,11376.199034973983
363,658,6908.455084432116
6,868,-2615.2962455157613
1,337,-2368.248109491071
289,207,2701.1726597949482
315,495,14654.193083218677
232,16,2516.614941175206
146,4,314.9601928207994
102,9,-1526.9291180874613
60,4,-1735.6485905320785
281,1,-3309.7509990887515
10,111,-2560.25407762797
26,47,1693.2560379672423
45,6,-4486.49498470055
65,26,-295.1576111083084
141,4,-1666.5704887621184
352,84,11042.171395836456
186,18,291.9872622216162
297,56,8.67296230096349
15,557,-4766.336446561618
206,153,-1380.6462016985386
248,125,-1533.452126086297
5,172,-1263.5689043687632
74,1976,4839.424252917206
144,4,1284.8867910919917
7,914,-1669.001026506441
260,37,2394.2330548219343
319,880,5649.203620307424
132,25,3729.142538895747
225,78,617.874205777317
238,41,-297.5439404248143
330,247,7044.864528741066
20,8,-1410.8967965735144
347,1,10052.91638906976
240,40,-503.01723534064854
372,55,14250.223097727412
78,330,3040.527637420517
135,4,-19.870349350613196
164,11,-4021.1851667744722
64,27,-294.1010138080362
55,27,-294.201763618659
90,89,1100.083678985291
210,95,-560.3487217988168
106,6,-2278.5443156110837
247,46,-4202.05316047065
249,60,1848.51318703255
