,Actual,Predicted
54,30,31.065178114686155
124,30,29.70224714513839
264,30,29.56396377190575
175,30,30.147976435158306
283,10,13.25433016684195
213,30,29.92449527526352
304,30,31.59450806317333
282,30,30.393586443596732
100,30,30.787410043710672
196,30,29.86612790722918
142,20,16.15331523436383
37,10,11.834624975042559
122,30,30.11444507463512
278,30,29.987451655140287
246,30,29.626673324322958
59,30,30.185676461948496
68,30,31.151917864360588
168,30,29.727075466511607
254,30,29.091428726160423
52,30,32.050935400820386
325,30,29.21178737506615
332,30,30.391836911578345
313,10,9.562687062425809
76,30,30.83572261039584
377,30,28.784554876010752
159,30,28.707847871198627
255,30,29.091453719333096
162,30,30.069703472764374
214,30,30.078184659224267
216,30,29.96229674279849
286,30,29.512820036737715
384,30,29.72932571115588
339,30,31.036603280892734
363,30,29.66680297299823
6,30,31.5352236095774
1,30,31.249160526412908
289,30,29.79012523023067
315,10,13.654954818779796
232,30,29.905063247511276
146,20,16.50811544096818
102,30,29.840725910728594
60,30,30.856537320730794
281,30,29.418680816905844
10,30,31.086756964017184
26,40,32.582628289826836
45,30,29.07871538144183
65,30,30.185232440973586
141,20,15.542219196769057
352,30,30.470651952014894
186,30,30.14357460802521
297,30,30.929405179517723
15,10,14.490175663303585
206,30,30.106086773801827
248,30,29.866134824202845
5,30,30.821639952300337
74,30,31.68088518910272
144,20,16.163620977583175
7,30,31.98696753999505
260,30,30.201177509314178
319,30,30.540340113574306
132,30,31.732965665004436
225,30,29.779980306039814
238,30,29.914222520846003
330,30,31.276365528841374
20,30,28.062299931828647
347,30,30.494837184033944
240,30,29.413074170074903
372,30,29.818809796389633
78,30,31.410861600092158
135,30,29.633691848927263
164,30,27.316174524057402
64,30,30.18543677174425
55,30,30.185456444851027
90,30,30.932816444749232
210,30,29.92461283651957
106,30,30.89626818032508
247,30,29.31906285298058
249,30,29.835978686991393
